Entity,Code,Year,Historical and more recent literacy estimates
Poland,POL,2021,99.8
Portugal,PRT,2021,96.78
Puerto Rico,PRI,2021,92.4
Romania,ROU,2021,98.9
Russia,RUS,2021,9.992.777
Rwanda,RWA,2021,75.9
Samoa,WSM,2021,99.1
South Africa,ZAF,2021,9.000.136
South Asia (WB),0,2021,7.342.247
Southern and Eastern Africa (WB),0,2021,7.258.116
Sri Lanka,LKA,2021,9.242.903
Sub-Saharan Africa (WB),0,2021,6.759.193
Suriname,SUR,2021,95
Thailand,THA,2021,94.1
Tonga,TON,2021,99.4
Ukraine,UKR,2021,100
United Arab Emirates,ARE,2021,9.812.636
Upper-middle-income countries,0,2021,9.591.167
Uzbekistan,UZB,2021,9.999.792
Vanuatu,VUT,2021,89.1
Western and Central Africa (WB),0,2021,6.003.461
World,OWID_WRL,2021,8.685.275
Albania,ALB,2022,98.5
Angola,AGO,2022,72.4
Arab World (WB),0,2022,7.517.153
Benin,BEN,2022,47.1
Bhutan,BTN,2022,72.1
Bosnia and Herzegovina,BIH,2022,98.3
Brazil,BRA,2022,94.69
Burkina Faso,BFA,2022,34.49
Burundi,BDI,2022,75.54
Cambodia,KHM,2022,83.78
Cape Verde,CPV,2022,91
Central Europe and the Baltics (WB),0,2022,9.942.752
Chad,TCD,2022,27.28
Chile,CHL,2022,97.16
Comoros,COM,2022,61.71
Democratic Republic of Congo,COD,2022,80.54
Dominican Republic,DOM,2022,95.5
Ecuador,ECU,2022,9.394.812
Egypt,EGY,2022,74.5
Europe and Central Asia (WB),0,2022,9.854.106
Gabon,GAB,2022,85.69
Gambia,GMB,2022,58.67
Georgia,GEO,2022,9.957.499
Guatemala,GTM,2022,84.27
Guinea-Bissau,GNB,2022,53.9
Guyana,GUY,2022,90.03
India,IND,2022,7.632.278
Iran,IRN,2022,88.96
Kenya,KEN,2022,82.88
Laos,LAO,2022,87.52
Latin America and Caribbean (WB),0,2022,9.460.012
Lesotho,LSO,2022,82.01
Low-income countries,0,2022,6.187.062
Lower-middle-income countries,0,2022,7.779.563
Madagascar,MDG,2022,77.48
Malawi,MWI,2022,68.08
Middle East and North Africa (WB),0,2022,8.035.759
Morocco,MAR,2022,77.35
Niger,NER,2022,38.1
North America (WB),0,2022,9.874.067
Oman,OMN,2022,9.733.906
Sao Tome and Principe,STP,2022,93.75
Senegal,SEN,2022,57.67
Sierra Leone,SLE,2022,48.64
Somalia,SOM,2022,41.025
South Asia (WB),0,2022,7.418.776
Southern and Eastern Africa (WB),0,2022,726.004
Sub-Saharan Africa (WB),0,2022,6.771.501
Tanzania,TZA,2022,82.02
Tunisia,TUN,2022,83.56
Uganda,UGA,2022,80.59
United Arab Emirates,ARE,2022,9.828.541
Upper-middle-income countries,0,2022,9.595.597
Uzbekistan,UZB,2022,9.999.998
Venezuela,VEN,2022,97.6
Western and Central Africa (WB),0,2022,603.127
World,OWID_WRL,2022,8.701.175
Zimbabwe,ZWE,2022,89.85
